"average_coef_1","average_coef_7","average_coef_8","average_coef_10","architecture","marker","Partition"
0.0884537962671704,0.516914431865068,0.347511192160586,0.740802435682099,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_2"
0.297252911046561,0.279009669502426,0.371336637662598,0.760208621824551,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_3"
0.240634372214094,0.474725274725276,0.17907022948003,0.826315402333683,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_4"
0.2875878420888,0.548701075311048,0.170227718577289,0.719195436705621,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_5"
0.339478774259404,0.294185252541169,0.332671040264892,0.76933938152544,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_6"
0.440495678593981,0.363269609772362,0.309654619058167,0.724600049611669,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_7"
0.346451164077866,0.473048061372734,0.419563551202071,0.790855829629834,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_8"
0.213021480749018,0.267195210721321,0.393329941965185,0.85167625014463,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_9"
0.442602916746121,0.316185610745569,0.265263355949539,0.808277383297271,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_10"
0.178068493086586,0.580553706831927,0.322116288001662,0.588559300727241,"MLP_PCA","PCA_MULTIPLE_INPUTS","ARO_ADM"
